province,confirmed,suspected,cured,dead,lon,lat
湖北省,33366,0,2668,1068,112.32764600016,30.93269499997
广东省,1219,0,275,1,113.48784200041,24.1041690003
河南省,1135,0,241,8,113.30208600027,33.76493499995
浙江省,1131,0,321,0,119.62025900015,29.28443299978
湖南省,946,0,304,2,111.70914900003,27.56018800028
安徽省,889,0,127,4,117.27573099999,32.44844900042
江西省,844,0,152,1,115.58722600018,27.86517200019
江苏省,543,0,123,0,118.96896900042,33.60216000018
重庆市,509,0,87,3,106.54709500033,29.56803600026
山东省,497,0,92,2,118.09365999961,35.94797300025
四川省,436,0,92,1,102.54019600044,31.16666400034
黑龙江省,378,0,28,8,126.76271400035,47.10851800021
北京市,352,0,56,3,116.40100299989,39.90311700025
上海市,311,0,57,1,121.47016100003,31.2326239997
福建省,272,0,53,0,117.54696300014,25.80374299974
河北省,251,0,54,2,115.43978000045,38.56895400033
陕西省,225,0,43,0,107.9300910003,33.4047909996
广西壮族自治区,222,0,31,1,108.58787800017,23.92980899959
海南省,157,0,27,3,109.6044420003,19.1647780003
云南省,154,0,25,0,100.56874199974,25.06511000023
贵州省,133,0,18,1,106.1475319997,26.13430400013
山西省,124,0,33,0,112.1427150003,37.39917399968
辽宁省,116,0,20,0,123.39010599959,41.2222470003
天津市,110,0,11,2,117.19429500011,39.08263399976
甘肃省,86,0,28,2,103.77111200012,35.16180300021
吉林省,83,0,21,1,126.16516500036,43.38060199998
内蒙古自治区,60,0,6,0,111.230208,42.01315400026
新疆维吾尔自治区,59,0,3,0,85.51027199985,40.84152000045
宁夏回族自治区,58,0,24,0,106.04266200015,37.40179900022
香港,50,0,1,1,114.17681000018,22.30769600017
台湾,18,0,1,0,120.87654999998,23.71200800017
青海省,18,0,9,0,96.06929099988,36.1078179998
澳门,10,0,2,0,113.53809500028,22.18978600002
西藏自治区,1,0,1,0,87.83856400043,31.61679199995
