province,city,confirmed,suspected,cured,dead,lon,lat
湖北省,武汉,11618,0,535,478,114.29981499966,30.59517399968
湖北省,孝感,2141,0,25,25,113.9109620001,30.92730999986
湖北省,黄冈,1897,0,68,32,114.86730700032,30.45613199989
湖北省,随州,915,0,9,9,113.37623699964,31.69212900005
湖北省,荆州,885,0,23,10,112.23374400009,30.33750399991
湖北省,襄阳,838,0,29,3,112.13916000003,32.04922099995
湖北省,黄石,635,0,39,2,115.03352200044,30.20196299969
湖北省,宜昌,610,0,11,7,111.28076599955,30.69430299978
湖北省,荆门,553,0,24,17,112.1936100001,31.03765800022
湖北省,鄂州,471,0,9,18,114.88990400007,30.39353900022
湖北省,咸宁,443,0,6,1,114.31704900031,29.84373499957
湖北省,十堰,395,0,28,0,110.79267999958,32.63135300034
湖北省,仙桃,307,0,11,5,113.41738399957,30.36369800006
湖北省,天门,163,0,1,10,113.16010099966,30.66572000008
湖北省,恩施州,157,0,12,0,109.46052,30.31749
湖北省,潜江,74,0,0,1,112.89374599958,30.40491999986
湖北省,神农架林区,10,0,2,0,110.67047600017,31.74676100042
广东省,深圳,334,0,22,0,114.05285700015,22.54567600025
广东省,广州,284,0,20,0,113.2599869996,23.13140700023
广东省,珠海,73,0,4,0,113.57163099997,22.27373599982
广东省,佛山,57,0,4,0,113.11642800015,23.02439499993
广东省,东莞,53,0,1,0,113.74641100027,23.02271799994
广东省,中山,46,0,6,0,113.38712199978,22.51864200003
广东省,惠州,39,0,1,0,114.41177100043,23.1134539997
广东省,汕头,22,0,3,0,116.67774999986,23.35616200018
广东省,湛江,19,0,4,0,110.35486799956,21.2732199996
广东省,肇庆,14,0,1,1,112.46000999956,23.04950899974
广东省,阳江,13,0,0,0,111.9774930001,21.86103200023
广东省,梅州,12,0,4,0,116.1178050001,24.29106099977
广东省,江门,11,0,1,0,113.07622200045,22.58138700041
广东省,清远,10,0,2,0,113.05068299992,23.6844809997
广东省,揭阳,7,0,0,0,116.36800399979,23.55211900039
广东省,韶关,6,0,1,0,113.59205100005,24.81331799993
广东省,茂名,6,0,0,0,110.9207279996,21.66606699989
广东省,汕尾,5,0,1,0,115.37031999977,22.78846099978
广东省,潮州,5,0,0,0,116.61860299993,23.65945000012
