continent,country,confirmed,suspected,cured,dead,lon,lat
亚洲,日本,20,0,1,0,139.2394179,36.5748441
亚洲,泰国,19,0,5,0,100.83273,14.8971921
亚洲,新加坡,18,0,0,0,103.8194992,1.357107
亚洲,韩国,15,0,0,0,127.9408564,36.5581914
大洋洲,澳大利亚,12,0,2,0,134.755,-24.7761086
欧洲,德国,12,0,0,0,10.4234469,51.0834196
北美洲,美国,11,0,0,0,-100.4458825,39.7837304
亚洲,马来西亚,10,0,0,0,102.2656823,4.5693754
亚洲,越南,10,0,1,0,108.4265113,13.2904027
欧洲,法国,6,0,0,0,1.8883335,46.603354
亚洲,阿联酋,5,0,0,0,53.9994829,24.0002488
北美洲,加拿大,4,0,0,0,-107.9917071,61.0666922
亚洲,印度,2,0,0,0,78.6677428,22.3511148
欧洲,意大利,2,0,0,0,12.674297,42.6384261
欧洲,英国,2,0,0,0,-3.2765753,54.7023545
欧洲,俄罗斯,2,0,0,0,97.7453061,64.6863136
亚洲,菲律宾,2,0,0,1,122.7312101,12.7503486
亚洲,尼泊尔,1,0,0,0,84.0917139,28.1083929
亚洲,柬埔寨,1,0,0,0,104.869423,13.5066394
亚洲,斯里兰卡,1,0,0,0,80.7137847,7.5554942
欧洲,芬兰,1,0,0,0,25.9209164,63.2467777
欧洲,西班牙,1,0,0,0,-4.8380649,39.3262345
欧洲,瑞典,1,0,0,0,14.5208584,59.6749712
欧洲,比利时,1,0,0,0,4.6667145,50.6402809
