province,confirmed,suspected,cured,dead
湖北省,7153,0,166,249
浙江省,599,0,15,0
广东省,535,0,11,0
河南省,422,0,3,2
湖南省,389,0,5,0
安徽省,297,0,3,0
江西省,286,0,9,0
重庆市,247,0,3,1
四川省,207,0,3,1
山东省,206,0,3,0
江苏省,202,0,5,0
上海市,169,0,10,1
北京市,156,0,5,1
福建省,144,0,0,0
陕西省,101,0,0,0
广西壮族自治区,100,0,2,0
河北省,96,0,0,1
云南省,91,0,1,0
黑龙江省,80,0,0,2
辽宁省,63,0,1,0
海南省,62,0,1,1
山西省,47,0,1,0
天津市,37,0,0,0
甘肃省,35,0,0,0
贵州省,29,0,2,0
宁夏回族自治区,26,0,0,0
内蒙古自治区,23,0,1,0
新疆维吾尔自治区,18,0,0,0
吉林省,17,0,1,0
香港,13,0,0,0
台湾,10,0,0,0
青海省,9,0,0,0
澳门,7,0,0,0
西藏自治区,1,0,0,0
